Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1782766778,21073571,5,0,0,0,0.00,0.00
1782766779,21069141,42,0,1,0,0.00,0.50
1782766780,21070972,45,0,0,0,0.00,1.00
1782766781,21061879,58,0,0,0,0.00,1.74
1782766782,21065922,50,0,0,0,0.00,0.50
1782766783,21078258,41,0,0,0,0.00,1.01
1782766784,21078575,38,0,0,0,0.00,1.00
1782766785,21084634,42,0,0,0,0.00,1.01
1782766786,21073360,44,1,0,0,0.00,5.30
1782766787,21068609,39,0,0,0,0.00,0.75
1782766788,21074546,49,1,1,0,0.00,0.50
1782766789,21064975,55,0,0,0,0.00,1.49
1782766790,21069166,54,0,1,0,0.00,0.25
1782766791,21080868,40,0,0,0,0.00,1.00
1782766792,21081540,44,0,0,0,0.00,1.01
1782766793,21080089,42,0,0,0,0.00,1.50
1782766794,21121513,47,1,2,0,0.00,0.51
1782766795,21080294,43,0,0,0,0.00,1.00
1782766796,21085961,39,0,0,0,0.00,1.00
1782766797,21077734,41,0,0,0,0.00,0.76
1782766798,21075352,52,1,1,0,0.00,1.01
1782766799,21074074,41,0,0,0,0.00,1.25
1782766800,21085100,48,0,1,0,0.00,0.76
1782766801,21080357,61,0,0,0,0.00,1.26
1782766802,21189114,56,0,0,0,0.00,1.26
1782766803,21075904,60,0,0,0,0.00,1.50
1782766804,21081508,76,0,0,0,0.00,2.01
1782766805,21081967,120,1,1,0,0.00,6.35
1782766806,21080145,70,1,1,0,0.00,2.24
1782766807,21075575,79,0,0,0,0.00,1.27
1782766808,21091641,94,0,0,0,0.00,2.26
1782766809,21080687,104,0,0,0,0.00,1.27
1782766810,21114484,92,1,1,0,0.00,1.77
1782766811,21074907,104,0,0,0,0.00,2.76
1782766812,21079247,94,0,0,0,0.00,1.77
1782766813,21076152,100,0,0,0,0.00,3.00
1782766814,21082910,108,0,0,0,0.00,2.27
1782766815,21077076,88,0,0,0,0.00,1.77
1782766816,21079014,76,1,1,0,0.00,2.01
1782766817,21077265,77,0,0,0,0.00,2.01
1782766818,21075892,72,1,1,0,0.00,1.52
1782766819,21081144,86,0,0,0,0.00,2.02
1782766820,21095262,86,0,0,0,0.00,2.50
1782766821,21081214,62,0,0,0,0.00,1.26
1782766822,21080198,65,0,0,0,0.00,1.51
1782766823,21076953,86,0,0,0,0.00,1.27
1782766824,21076896,84,2,2,0,0.00,1.02
1782766825,21112684,79,1,1,0,0.00,1.77
1782766826,21080046,84,0,1,0,0.00,2.74
1782766827,21080439,71,0,1,0,0.00,1.01
1782766828,21087353,73,2,2,0,0.00,1.76
1782766829,21083393,65,0,0,0,0.00,0.51
1782766830,21083246,77,0,0,0,0.00,1.76
1782766831,21078840,90,0,0,0,0.00,2.02
1782766832,21075694,62,0,0,0,0.00,0.51
1782766833,21079902,77,0,0,0,0.00,1.52
1782766834,21076934,75,0,0,0,0.00,2.00
1782766835,21077415,54,0,0,0,0.00,1.50
1782766836,21075093,63,1,1,0,0.00,1.51
1782766837,21075543,57,0,1,0,0.00,1.50
1782766838,21078451,59,0,0,0,0.00,0.76
1782766839,21080694,74,0,0,0,0.00,1.51
1782766840,21084248,76,0,0,0,0.00,2.01
1782766841,21078908,84,0,0,0,0.00,1.52
1782766842,21079151,70,0,0,0,0.00,2.49
1782766843,21080654,72,0,0,0,0.00,1.26
1782766844,21082429,68,0,0,0,0.00,1.51
1782766845,21079735,54,0,0,0,0.00,0.51
1782766846,21079864,69,2,2,0,0.00,1.51
1782766847,21078702,58,0,1,0,0.00,1.26
1782766848,21079998,53,0,0,0,0.00,1.26
1782766849,21076565,66,0,0,0,0.00,1.51
1782766850,21114549,58,0,0,0,0.00,0.76
1782766851,21080929,61,0,0,0,0.00,1.50
1782766852,21078413,66,0,0,0,0.00,1.01
1782766853,21079761,68,0,0,0,0.00,1.51
1782766854,21081433,79,1,1,0,0.00,1.76
1782766855,21078896,56,0,0,0,0.00,0.76
1782766856,21076109,47,0,0,0,0.00,1.25
1782766857,21084322,51,0,0,0,0.00,0.76
1782766858,21079421,52,0,0,0,0.00,0.76
1782766859,21082446,56,0,0,0,0.00,0.76
1782766860,21085482,55,0,0,0,0.00,1.26
1782766861,21079153,49,1,1,0,0.00,1.50
1782766862,21078824,62,0,0,0,0.00,1.75
1782766863,21319702,40,0,0,0,0.00,1.00
1782766864,21077779,45,0,1,0,0.00,0.76
1782766865,21082637,80,0,0,0,0.00,1.01
1782766866,21084016,55,0,0,0,0.00,1.01
1782766867,21095144,56,1,1,0,0.00,1.01
1782766868,21083314,61,0,0,0,0.00,1.26
1782766869,21127326,88,0,0,0,0.00,1.76
1782766870,21080933,51,0,0,0,0.00,0.25
1782766871,21078039,67,0,0,0,0.00,1.51
1782766872,21077239,52,0,0,0,0.00,1.50
1782766873,21078792,54,1,1,0,0.00,1.01
1782766874,21077595,57,0,0,0,0.00,1.26
1782766875,21075887,71,0,1,0,0.00,1.51
1782766876,21076637,61,0,0,0,0.00,1.51
1782766877,21081460,69,1,1,0,0.00,1.26
1782766878,21081500,54,0,0,0,0.00,1.01
1782766879,21075197,67,0,0,0,0.00,1.51
1782766880,21078435,60,1,2,0,0.00,2.25
1782766881,21078557,54,1,1,0,0.00,1.01
1782766882,21078169,50,0,0,0,0.00,1.01
1782766883,21080707,59,0,0,0,0.00,0.76
1782766884,21080859,61,0,0,0,0.00,1.75
1782766885,21074980,53,1,1,0,0.00,1.01
1782766886,21081349,57,1,1,0,0.00,1.75
1782766887,21078770,58,0,0,0,0.00,1.01
1782766888,21079014,51,0,0,0,0.00,0.76
1782766889,21077496,66,0,1,0,0.00,1.26
1782766890,21080259,59,0,0,0,0.00,1.26
1782766891,21079073,40,0,0,0,0.00,0.51
1782766892,21083887,51,0,0,0,0.00,1.26
1782766893,21093033,45,0,0,0,0.00,0.75
1782766894,21080001,65,0,0,0,0.00,0.76
1782766895,21080156,48,0,0,0,0.00,1.00
1782766896,21074435,65,3,2,0,0.00,1.01
1782766897,21077369,58,0,1,0,0.00,1.51
1782766898,21074480,51,0,0,0,0.00,1.50
1782766899,21073579,47,1,1,0,0.00,1.25
1782766900,21080397,44,1,1,0,0.00,0.75
1782766901,21120817,69,0,0,0,0.00,1.76
1782766902,21079060,50,0,1,0,0.00,1.52
1782766903,21077728,50,0,0,0,0.00,0.76
1782766904,21083333,54,1,1,0,0.00,1.01
1782766905,21076917,58,1,1,0,0.00,1.01
1782766906,21081239,69,2,2,0,0.00,1.51
1782766907,21079268,52,0,0,0,0.00,1.26
1782766908,21086213,39,1,2,0,0.00,1.25
1782766909,21080199,52,0,0,0,0.00,0.76
1782766910,21075808,53,1,2,0,0.00,1.26
1782766911,21076427,34,0,0,0,0.00,0.75
1782766912,21075232,41,0,0,0,0.00,1.01
1782766913,21080557,61,1,1,0,0.00,1.50
1782766914,21081360,69,0,0,0,0.00,1.26
1782766915,21081131,38,0,0,0,0.00,0.75
1782766916,21081379,49,1,1,0,0.00,0.76
1782766917,21082262,42,0,0,0,0.00,1.25
1782766918,21084872,53,0,0,0,0.00,1.25
1782766919,21078326,48,0,0,0,0.00,1.26
1782766920,21080382,40,0,0,0,0.00,0.76
1782766921,21079843,45,1,1,0,0.00,1.25
1782766922,21078532,53,0,2,0,0.00,1.50
1782766923,21074886,21,0,0,0,0.00,0.50
1782766924,21078541,59,0,0,0,0.00,1.01
